lsoa21cd,domain_supermarket_proximity,domain_supermarket_accessibility,domain_ecommerce_access,domain_socio_demographic,domain_nonsupermarket_proximity,domain_food_for_families,domain_fuel_poverty,country,country_denominator,combined,pp_dec_domain_supermarket_proximity,pp_dec_domain_supermarket_accessibility,pp_dec_domain_ecommerce_access,pp_dec_domain_socio_demographic,pp_dec_domain_nonsupermarket_proximity,pp_dec_domain_food_for_families,pp_dec_domain_fuel_poverty,pp_dec_combined
S01008956,2093,2993.0,5286.0,4643,3128,5777,6196.0,S,6976,5246,3,5.0,8.0,7,5,9,9.0,8
S01008957,2363,2845.0,5286.0,3237,3549,5733,5751.0,S,6976,4534,4,5.0,8.0,5,6,9,9.0,7
S01008958,3350,2498.0,3159.0,1889,2773,5609,5736.0,S,6976,3348,5,4.0,5.0,3,4,9,9.0,5
S01008959,2324,3790.0,5286.0,3760,2582,5704,6173.0,S,6976,5011,4,6.0,8.0,6,4,9,9.0,8
S01008960,3844,3525.0,6165.0,6435,2447,5542,5438.0,S,6976,6124,6,6.0,9.0,10,4,8,8.0,9
S01008961,3620,2964.0,5286.0,5226,2940,5526,6602.0,S,6976,5919,6,5.0,8.0,8,5,8,10.0,9
S01008962,5260,3548.0,5286.0,5025,3157,5390,5438.0,S,6976,5364,8,6.0,8.0,8,5,8,8.0,8
S01008963,6411,4242.0,5286.0,6243,2576,5322,6571.0,S,6976,6692,10,7.0,8.0,9,4,8,10.0,10
S01008964,6488,5107.0,5923.0,5308,3297,5181,5438.0,S,6976,6348,10,8.0,9.0,8,5,8,8.0,10
S01008965,5222,4187.0,5923.0,5799,3342,5380,5438.0,S,6976,5998,8,7.0,9.0,9,5,8,8.0,9
S01008966,3477,3086.0,5286.0,5955,3081,5564,6738.0,S,6976,6354,5,5.0,8.0,9,5,8,10.0,10
S01008967,5473,4577.0,5923.0,5848,3691,5308,5438.0,S,6976,6147,8,7.0,9.0,9,6,8,8.0,9
S01008968,4571,2374.0,5923.0,5719,3461,5423,6598.0,S,6976,6320,7,4.0,9.0,9,5,8,10.0,10
S01008969,3520,2670.0,5286.0,4482,2531,5538,6574.0,S,6976,5565,6,4.0,8.0,7,4,8,10.0,8
S01008970,6174,4612.0,6165.0,5853,3187,5130,6810.0,S,6976,6815,9,7.0,9.0,9,5,8,10.0,10
S01008971,5583,3309.0,6165.0,6482,2684,5240,5438.0,S,6976,6351,9,5.0,9.0,10,4,8,8.0,10
S01008972,5805,4232.0,6165.0,6516,3002,5098,5438.0,S,6976,6473,9,7.0,9.0,10,5,8,8.0,10
S01008973,4513,4693.0,5286.0,4907,3142,5012,5438.0,S,6976,5180,7,7.0,8.0,8,5,8,8.0,8
S01008974,6738,6560.0,5286.0,4333,3387,4963,6486.0,S,6976,6785,10,10.0,8.0,7,5,8,10.0,10
